"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2000",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2001",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2002",10.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2003",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2004",10.5,"B"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2005",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2006",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2007",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2008",10.8,"B"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2009",10.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2010",10.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2011",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2012",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2014",9.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2015",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2016",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2017",9.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2000",13.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2001",12.8,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2002",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2003",12.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2004",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2005",12.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2006",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2007",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2008",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2009",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2010",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2011",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2012",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2013",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2014",12.8,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2015",11.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2016",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2017",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2018",12.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2000",11.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2001",11,
