"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","2000",27459.586684,
"AUS","GNI","TOT","USD_CAP","A","2001",28691.495295,
"AUS","GNI","TOT","USD_CAP","A","2002",29874.377554,
"AUS","GNI","TOT","USD_CAP","A","2003",31327.780243,
"AUS","GNI","TOT","USD_CAP","A","2004",32607.717683,
"AUS","GNI","TOT","USD_CAP","A","2005",34185.287506,
"AUS","GNI","TOT","USD_CAP","A","2006",36155.001477,
"AUS","GNI","TOT","USD_CAP","A","2007",37977.204481,
"AUS","GNI","TOT","USD_CAP","A","2008",38688.652842,
"AUS","GNI","TOT","USD_CAP","A","2009",39997.480757,
"AUS","GNI","TOT","USD_CAP","A","2010",41069.56918,
"AUS","GNI","TOT","USD_CAP","A","2011",43068.356137,
"AUS","GNI","TOT","USD_CAP","A","2012",42787.76105,
"AUS","GNI","TOT","USD_CAP","A","2013",46511.408561,
"AUS","GNI","TOT","USD_CAP","A","2014",46670.840624,
"AUS","GNI","TOT","USD_CAP","A","2015",46197.653121,
"AUS","GNI","TOT","USD_CAP","A","2016",48870.627777,
"AUS","GNI","TOT","USD_CAP","A","2017",49394.050517,
"AUS","GNI","TOT","USD_CAP","A","2018",52532.049505,
"AUS","GNI","TOT","USD_CAP","A","2019",53130.268541,"E"
"AUT","GNI","TOT","USD_CAP","A","2000",29132.854379,
"AUT","GNI","TOT","USD_CAP","A","2001",29309.288232,
"AUT","GNI","TOT","USD_CAP","A","2002",30997.101076,
"AUT","GNI","TOT","USD_CAP","A","2003",32042.929212,
"AUT","GNI","TOT","USD_CAP","A","2004",33709.742715,
"AUT","GNI","TOT","USD_CAP","A","2005",34950.389382,
"AUT","GNI","TOT","USD_CAP","A","2006",37702.79892,
"AUT","GNI","TOT","USD_CAP","A","2007",39344.487553,
"AUT","GNI","TOT","USD_CAP","A","2008",41660.642669,
"AUT","GNI","TOT","USD_CAP","A","2009",40939.514043,
"AUT","GNI","TOT","USD_CAP","A","2010",42405.016563,
"AUT","GNI","TOT","USD_CAP","A","2011",44619.143494,
"AUT","GNI","TOT","USD_CAP","A","2012",46524.585901,
"AUT","GNI","TOT","USD_CAP","A","2013",48065.980083,
"AUT","GNI","TOT","USD_CAP","A","2014",48877.877018,
"AUT","GNI","TOT","USD_CAP","A","2015",49450.318805,
"AUT","GNI","TOT","USD_CAP","A","2016",52661.118518,
"AUT","GNI","TOT","USD_CAP","A","2017",53848.636589,
"AUT","GNI","TOT","USD_CAP","A","2018",58333.968168,
"AUT","GNI","TOT","USD_CAP","A","2019",60715.421946,
"BEL","GNI","TOT","USD_CAP","A","2000",28513.166346,
"BEL","GNI","TOT","USD_CAP","A","2001",29339.183256,
"BEL","GNI","TOT","USD_CAP","A","2002",30805.580012,
"BEL","GNI","TOT","USD_CAP","A","2003",31491.117184,
"BEL","GNI","TOT","USD_CAP","A","2004",32481.473775,
"BEL","GNI","TOT","USD_CAP","A","2005",33592.439463,
"BEL","GNI","TOT","USD_CAP","A","2006",35718.286402,
"BEL","GNI","TOT","USD_CAP","A","2007",37257.691431,
"BEL","GNI","TOT","USD_CAP","A","2008",38804.651431,
"BEL","GNI","TOT","USD_CAP","A","2009",38479.801687,
"BEL","GNI","TOT","USD_CAP","A","2010",40482.41288,
"BEL","GNI","TOT","USD_CAP","A","2011",41007.733007,
"BEL","GNI","TOT","USD_CAP","A","2012",43272.208613,
"BEL","GNI","TOT","USD_CAP","A","2013",44746.985715,
"BEL","GNI","TOT","USD_CAP","A","2014",45872.275692,
"BEL","GNI","TOT","USD_CAP","A","2015",46854.727758,
"BEL","GNI","TOT","USD_CAP","A","2016",49063.625377,
"BEL","GNI","TOT","USD_CAP","A","2017",51060.249037,
"BEL","GNI","TOT","USD_CAP","A","2018",54859.995454,
"BEL","GNI","TOT","USD_CAP","A","2019",57025.883991,
"CAN","GNI","TOT","USD_CAP","A","2000",28592.719281,
"CAN","GNI","TOT","USD_CAP","A","2001",29363.554214,
"CAN","GNI","TOT","USD_CAP","A","2002",30179.76062,
"CAN","GNI","TOT","USD_CAP","A","2003",31538.272934,
"CAN","GNI","TOT","USD_CAP","A","2004",33180.304672,
"CAN","GNI","TOT","USD_CAP","A","2005",35584.87676,
"CAN","GNI","TOT","USD_CAP","A","2006",37500.72362,
"CAN","GNI","TOT","USD_CAP","A","2007",38973.270655,
"CAN","GNI","TOT","USD_CAP","A","2008",39783.102761,
"CAN","GNI","TOT","USD_CAP","A","2009",38224.036168,
"CAN","GNI","TOT","USD_CAP","A","2010",39321.399083,
"CAN","GNI","TOT","USD_CAP","A","2011",40879.706167,
"CAN","GNI","TOT","USD_CAP","A","2012",41540.466357,
"CAN","GNI","TOT","USD_CAP","A","2013",43623.829964,
"CAN","GNI","TOT","USD_CAP","A","2014",45014.460327,
"CAN","GNI","TOT","USD_CAP","A","2015",43985.744064,
"CAN","GNI","TOT","USD_CAP","A","2016",45904.592006,
"CAN","GNI","TOT","USD_CAP","A","2017",47863.295066,
"CAN","GNI","TOT","USD_CAP","A","2018",50243.916182,
"CAN","GNI","TOT","USD_CAP","A","2019",51157.796922,
"CZE","GNI","TOT","USD_CAP","A","2000",15899.602198,
"CZE","GNI","TOT","USD_CAP","A","2001",17119.493337,
"CZE","GNI","TOT","USD_CAP","A","2002",17589.478216,
"CZE","GNI","TOT","USD_CAP","A","2003",18847.589219,
"CZE","GNI","TOT","USD_CAP","A","2004",19904.924823,
"CZE","GNI","TOT","USD_CAP","A","2005",21027.411774,
"CZE","GNI","TOT","USD_CAP","A","2006",22344.247178,
"CZE","GNI","TOT","USD_CAP","A","2007",24503.188433,
"CZE","GNI","TOT","USD_CAP","A","2008",26156.677405,
"CZE","GNI","TOT","USD_CAP","A","2009",25746.785489,
"CZE","GNI","TOT","USD_CAP","A","2010",25709.168665,
"CZE","GNI","TOT","USD_CAP","A","2011",26659.370795,
"CZE","GNI","TOT","USD_CAP","A","2012",27377.536102,
"CZE","GNI","TOT","USD_CAP","A","2013",28870.330817,
"CZE","GNI","TOT","USD_CAP","A","2014",30272.958882,
"CZE","GNI","TOT","USD_CAP","A","2015",31583.657964,
"CZE","GNI","TOT","USD_CAP","A","2016",33665.787906,
"CZE","GNI","TOT","USD_CAP","A","2017",36760.685062,
"CZE","GNI","TOT","USD_CAP","A","2018",40035.297135,
"CZE","GNI","TOT","USD_CAP","A","2019",41574.344121,
"DNK","GNI","TOT","USD_CAP","A","2000",28026.444105,
"DNK","GNI","TOT","USD_CAP","A","2001",29025.330061,
"DNK","GNI","TOT","USD_CAP","A","2002",30258.700213,
"DNK","GNI","TOT","USD_CAP","A","2003",30516.266279,
"DNK","GNI","TOT","USD_CAP","A","2004",32961.143581,
"DNK","GNI","TOT","USD_CAP","A","2005",34428.171064,
"DNK","GNI","TOT","USD_CAP","A","2006",37737.981801,
"DNK","GNI","TOT","USD_CAP","A","2007",39164.760403,
"DNK","GNI","TOT","USD_CAP","A","2008",41743.408542,
"DNK","GNI","TOT","USD_CAP","A","2009",40764.543056,
"DNK","GNI","TOT","USD_CAP","A","2010",43745.219258,
"DNK","GNI","TOT","USD_CAP","A","2011",45344.367171,
"DNK","GNI","TOT","USD_CAP","A","2012",45820.387616,
"DNK","GNI","TOT","USD_CAP","A","2013",48223.000169,
"DNK","GNI","TOT","USD_CAP","A","2014",49648.01783,
"DNK","GNI","TOT","USD_CAP","A","2015",50564.074167,
"DNK","GNI","TOT","USD_CAP","A","2016",53244.41556,
"DNK","GNI","TOT","USD_CAP","A","2017",56748.85494,
"DNK","GNI","TOT","USD_CAP","A","2018",60915.244321,
"DNK","GNI","TOT","USD_CAP","A","2019",63941.144215,
"FIN","GNI","TOT","USD_CAP","A","2000",26629.475394,
"FIN","GNI","TOT","USD_CAP","A","2001",27797.562769,
"FIN","GNI","TOT","USD_CAP","A","2002",28691.813286,
"FIN","GNI","TOT","USD_CAP","A","2003",28850.660301,
"FIN","GNI","TOT","USD_CAP","A","2004",31395.075948,
"FIN","GNI","TOT","USD_CAP","A","2005",32185.46841,
"FIN","GNI","TOT","USD_CAP","A","2006",34721.865635,
"FIN","GNI","TOT","USD_CAP","A","2007",37903.062426,
"FIN","GNI","TOT","USD_CAP","A","2008",40150.967209,
"FIN","GNI","TOT","USD_CAP","A","2009",38471.91675,
"FIN","GNI","TOT","USD_CAP","A","2010",39490.230979,
"FIN","GNI","TOT","USD_CAP","A","2011",41073.289406,
"FIN","GNI","TOT","USD_CAP","A","2012",41063.966306,
"FIN","GNI","TOT","USD_CAP","A","2013",41663.300112,
"FIN","GNI","TOT","USD_CAP","A","2014",42167.773015,
"FIN","GNI","TOT","USD_CAP","A","2015",42908.108009,
"FIN","GNI","TOT","USD_CAP","A","2016",45139.000715,
"FIN","GNI","TOT","USD_CAP","A","2017",47671.771817,
"FIN","GNI","TOT","USD_CAP","A","2018",51474.095112,
"FIN","GNI","TOT","USD_CAP","A","2019",53416.233715,
"FRA","GNI","TOT","USD_CAP","A","2000",26518.46421,
"FRA","GNI","TOT","USD_CAP","A","2001",28002.079417,
"FRA","GNI","TOT","USD_CAP","A","2002",28825.290525,
"FRA","GNI","TOT","USD_CAP","A","2003",28521.711268,
"FRA","GNI","TOT","USD_CAP","A","2004",29443.017978,
"FRA","GNI","TOT","USD_CAP","A","2005",31026.386842,
"FRA","GNI","TOT","USD_CAP","A","2006",33080.309665,
"FRA","GNI","TOT","USD_CAP","A","2007",34764.057035,
"FRA","GNI","TOT","USD_CAP","A","2008",35867.533635,
"FRA","GNI","TOT","USD_CAP","A","2009",35509.975289,
"FRA","GNI","TOT","USD_CAP","A","2010",36771.383263,
"FRA","GNI","TOT","USD_CAP","A","2011",38443.508014,
"FRA","GNI","TOT","USD_CAP","A","2012",38508.150438,
"FRA","GNI","TOT","USD_CAP","A","2013",40413.873486,
"FRA","GNI","TOT","USD_CAP","A","2014",41014.141707,
"FRA","GNI","TOT","USD_CAP","A","2015",41711.649419,
"FRA","GNI","TOT","USD_CAP","A","2016",43762.504542,
"FRA","GNI","TOT","USD_CAP","A","2017",45631.2973,
"FRA","GNI","TOT","USD_CAP","A","2018",48982.259872,"P"
"FRA","GNI","TOT","USD_CAP","A","2019",51744.356269,"P"
"DEU","GNI","TOT","USD_CAP","A","2000",27308.425156,
"DEU","GNI","TOT","USD_CAP","A","2001",28469.405931,
"DEU","GNI","TOT","USD_CAP","A","2002",29191.289713,
"DEU","GNI","TOT","USD_CAP","A","2003",29931.124349,
"DEU","GNI","TOT","USD_CAP","A","2004",31906.972823,
"DEU","GNI","TOT","USD_CAP","A","2005",32502.897559,
"DEU","GNI","TOT","USD_CAP","A","2006",35205.950707,
"DEU","GNI","TOT","USD_CAP","A","2007",37348.271166,
"DEU","GNI","TOT","USD_CAP","A","2008",38797.305107,
"DEU","GNI","TOT","USD_CAP","A","2009",38337.998141,
"DEU","GNI","TOT","USD_CAP","A","2010",40503.830129,
"DEU","GNI","TOT","USD_CAP","A","2011",43630.88959,
