"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","2000",79.3,
"AUS","LIFEEXP","TOT","YR","A","2001",79.7,
"AUS","LIFEEXP","TOT","YR","A","2002",80,
"AUS","LIFEEXP","TOT","YR","A","2003",80.3,
"AUS","LIFEEXP","TOT","YR","A","2004",80.6,
"AUS","LIFEEXP","TOT","YR","A","2005",80.9,
"AUS","LIFEEXP","TOT","YR","A","2006",81.1,
"AUS","LIFEEXP","TOT","YR","A","2007",81.4,
"AUS","LIFEEXP","TOT","YR","A","2008",81.5,
"AUS","LIFEEXP","TOT","YR","A","2009",81.6,
"AUS","LIFEEXP","TOT","YR","A","2010",81.8,
"AUS","LIFEEXP","TOT","YR","A","2011",82,
"AUS","LIFEEXP","TOT","YR","A","2012",82.1,
"AUS","LIFEEXP","TOT","YR","A","2013",82.2,
"AUS","LIFEEXP","TOT","YR","A","2014",82.4,
"AUS","LIFEEXP","TOT","YR","A","2015",82.5,
"AUS","LIFEEXP","TOT","YR","A","2016",82.5,
"AUS","LIFEEXP","TOT","YR","A","2017",82.6,
"AUS","LIFEEXP","TOT","YR","A","2018",82.8,
"AUT","LIFEEXP","TOT","YR","A","2000",78.2,
"AUT","LIFEEXP","TOT","YR","A","2001",78.7,
"AUT","LIFEEXP","TOT","YR","A","2002",78.8,
"AUT","LIFEEXP","TOT","YR","A","2003",78.7,
"AUT","LIFEEXP","TOT","YR","A","2004",79.3,
"AUT","LIFEEXP","TOT","YR","A","2005",79.4,
"AUT","LIFEEXP","TOT","YR","A","2006",80,
"AUT","LIFEEXP","TOT","YR","A","2007",80.3,
"AUT","LIFEEXP","TOT","YR","A","2008",80.5,
"AUT","LIFEEXP","TOT","YR","A","2009",80.4,
"AUT","LIFEEXP","TOT","YR","A","2010",80.7,
"AUT","LIFEEXP","TOT","YR","A","2011",81.1,
"AUT","LIFEEXP","TOT","YR","A","2012",81,
"AUT","LIFEEXP","TOT","YR","A","2013",81.2,
"AUT","LIFEEXP","TOT","YR","A","2014",81.6,
"AUT","LIFEEXP","TOT","YR","A","2015",81.3,
"AUT","LIFEEXP","TOT","YR","A","2016",81.7,
"AUT","LIFEEXP","TOT","YR","A","2017",81.7,
"AUT","LIFEEXP","TOT","YR","A","2018",81.8,
"BEL","LIFEEXP","TOT","YR","A","2000",77.8,
"BEL","LIFEEXP","TOT","YR","A","2001",78.1,
"BEL","LIFEEXP","TOT","YR","A","2002",78.2,
"BEL","LIFEEXP","TOT","YR","A","2003",78.2,
"BEL","LIFEEXP","TOT","YR","A","2004",79,
"BEL","LIFEEXP","TOT","YR","A","2005",79.1,
"BEL","LIFEEXP","TOT","YR","A","2006",79.5,
"BEL","LIFEEXP","TOT","YR","A","2007",79.9,
"BEL","LIFEEXP","TOT","YR","A","2008",79.8,
"BEL","LIFEEXP","TOT","YR","A","2009",80.1,
"BEL","LIFEEXP","TOT","YR","A","2010",80.3,
"BEL","LIFEEXP","TOT","YR","A","2011",80.7,"B"
"BEL","LIFEEXP","TOT","YR","A","2012",80.5,
"BEL","LIFEEXP","TOT","YR","A","2013",80.7,
"BEL","LIFEEXP","TOT","YR","A","2014",81.4,
"BEL","LIFEEXP","TOT","YR","A","2015",81.1,
"BEL","LIFEEXP","TOT","YR","A","2016",81.5,
"BEL","LIFEEXP","TOT","YR","A","2017",81.6,
"BEL","LIFEEXP","TOT","YR","A","2018",81.7,
"CAN","LIFEEXP","TOT","YR","A","2000",79,
"CAN","LIFEEXP","TOT","YR","A","2001",79.2,
"CAN","LIFEEXP","TOT","YR","A","2002",79.4,
"CAN","LIFEEXP","TOT","YR","A","2003",79.6,
"CAN","LIFEEXP","TOT","YR","A","2004",79.8,
"CAN","LIFEEXP","TOT","YR","A","2005",80,
"CAN","LIFEEXP","TOT","YR","A","2006",80.3,
"CAN","LIFEEXP","TOT","YR","A","2007",80.4,
"CAN","LIFEEXP","TOT","YR","A","2008",80.6,
"CAN","LIFEEXP","TOT","YR","A","2009",80.8,
"CAN","LIFEEXP","TOT","YR","A","2010",81.1,
"CAN","LIFEEXP","TOT","YR","A","2011",81.3,
"CAN","LIFEEXP","TOT","YR","A","2012",81.5,
"CAN","LIFEEXP","TOT","YR","A","2013",81.7,
"CAN","LIFEEXP","TOT","YR","A","2014",81.8,
"CAN","LIFEEXP","TOT","YR","A","2015",81.9,
"CAN","LIFEEXP","TOT","YR","A","2016",82,
"CAN","LIFEEXP","TOT","YR","A","2017",82,
"CAN","LIFEEXP","TOT","YR","A","2018",82,
"CZE","LIFEEXP","TOT","YR","A","2000",75.1,
"CZE","LIFEEXP","TOT","YR","A","2001",75.3,
"CZE","LIFEEXP","TOT","YR","A","2002",75.4,
"CZE","LIFEEXP","TOT","YR","A","2003",75.3,
"CZE","LIFEEXP","TOT","YR","A","2004",75.8,
"CZE","LIFEEXP","TOT","YR","A","2005",76.1,
"CZE","LIFEEXP","TOT","YR","A","2006",76.7,
"CZE","LIFEEXP","TOT","YR","A","2007",77,
"CZE","LIFEEXP","TOT","YR","A","2008",77.3,
"CZE","LIFEEXP","TOT","YR","A","2009",77.4,
"CZE","LIFEEXP","TOT","YR","A","2010",77.7,
"CZE","LIFEEXP","TOT","YR","A","2011",78,
"CZE","LIFEEXP","TOT","YR","A","2012",78.2,
"CZE","LIFEEXP","TOT","YR","A","2013",78.3,
"CZE","LIFEEXP","TOT","YR","A","2014",78.9,
"CZE","LIFEEXP","TOT","YR","A","2015",78.7,
"CZE","LIFEEXP","TOT","YR","A","2016",79.1,
"CZE","LIFEEXP","TOT","YR","A","2017",79.1,
"CZE","LIFEEXP","TOT","YR","A","2018",79.1,
"DNK","LIFEEXP","TOT","YR","A","2000",76.9,
"DNK","LIFEEXP","TOT","YR","A","2001",77,
"DNK","LIFEEXP","TOT","YR","A","2002",77.1,
"DNK","LIFEEXP","TOT","YR","A","2003",77.4,
"DNK","LIFEEXP","TOT","YR","A","2004",77.8,
"DNK","LIFEEXP","TOT","YR","A","2005",78.3,
"DNK","LIFEEXP","TOT","YR","A","2006",78.4,
"DNK","LIFEEXP","TOT","YR","A","2007",78.4,
"DNK","LIFEEXP","TOT","YR","A","2008",78.8,
"DNK","LIFEEXP","TOT","YR","A","2009",79,
"DNK","LIFEEXP","TOT","YR","A","2010",79.3,
"DNK","LIFEEXP","TOT","YR","A","2011",79.9,
"DNK","LIFEEXP","TOT","YR","A","2012",80.1,
"DNK","LIFEEXP","TOT","YR","A","2013",80.4,
"DNK","LIFEEXP","TOT","YR","A","2014",80.8,
"DNK","LIFEEXP","TOT","YR","A","2015",80.8,
"DNK","LIFEEXP","TOT","YR","A","2016",80.9,
"DNK","LIFEEXP","TOT","YR","A","2017",81.2,
"DNK","LIFEEXP","TOT","YR","A","2018",81,
"FIN","LIFEEXP","TOT","YR","A","2000",77.7,
"FIN","LIFEEXP","TOT","YR","A","2001",78.2,
"FIN","LIFEEXP","TOT","YR","A","2002",78.3,
"FIN","LIFEEXP","TOT","YR","A","2003",78.5,
"FIN","LIFEEXP","TOT","YR","A","2004",79,
"FIN","LIFEEXP","TOT","YR","A","2005",79.1,
"FIN","LIFEEXP","TOT","YR","A","2006",79.5,
"FIN","LIFEEXP","TOT","YR","A","2007",79.6,
"FIN","LIFEEXP","TOT","YR","A","2008",79.9,
"FIN","LIFEEXP","TOT","YR","A","2009",80.1,
"FIN","LIFEEXP","TOT","YR","A","2010",80.2,
"FIN","LIFEEXP","TOT","YR","A","2011",80.6,
"FIN","LIFEEXP","TOT","YR","A","2012",80.7,
"FIN","LIFEEXP","TOT","YR","A","2013",81.1,
"FIN","LIFEEXP","TOT","YR","A","2014",81.3,
"FIN","LIFEEXP","TOT","YR","A","2015",81.6,
"FIN","LIFEEXP","TOT","YR","A","2016",81.5,
"FIN","LIFEEXP","TOT","YR","A","2017",81.7,
"FIN","LIFEEXP","TOT","YR","A","2018",81.8,
"FRA","LIFEEXP","TOT","YR","A","2000",79.2,
"FRA","LIFEEXP","TOT","YR","A","2001",79.3,
"FRA","LIFEEXP","TOT","YR","A","2002",79.4,
"FRA","LIFEEXP","TOT","YR","A","2003",79.3,
"FRA","LIFEEXP","TOT","YR","A","2004",80.3,
"FRA","LIFEEXP","TOT","YR","A","2005",80.4,
"FRA","LIFEEXP","TOT","YR","A","2006",81,
"FRA","LIFEEXP","TOT","YR","A","2007",81.2,
"FRA","LIFEEXP","TOT","YR","A","2008",81.4,
"FRA","LIFEEXP","TOT","YR","A","2009",81.5,
"FRA","LIFEEXP","TOT","YR","A","2010",81.8,
"FRA","LIFEEXP","TOT","YR","A","2011",82.3,
"FRA","LIFEEXP","TOT","YR","A","2012",82.1,
"FRA","LIFEEXP","TOT","YR","A","2013",82.3,
"FRA","LIFEEXP","TOT","YR","A","2014",82.8,
"FRA","LIFEEXP","TOT","YR","A","2015",82.4,
"FRA","LIFEEXP","TOT","YR","A","2016",82.7,
"FRA","LIFEEXP","TOT","YR","A","2017",82.7,
"FRA","LIFEEXP","TOT","YR","A","2018",82.8,
"DEU","LIFEEXP","TOT","YR","A","2000",78.2,
"DEU","LIFEEXP","TOT","YR","A","2001",78.5,
"DEU","LIFEEXP","TOT","YR","A","2002",78.5,
"DEU","LIFEEXP","TOT","YR","A","2003",78.6,
"DEU","LIFEEXP","TOT","YR","A","2004",79.2,
"DEU","LIFEEXP","TOT","YR","A","2005",79.4,
"DEU","LIFEEXP","TOT","YR","A","2006",79.8,
"DEU","LIFEEXP","TOT","YR","A","2007",80.1,
"DEU","LIFEEXP","TOT","YR","A","2008",80.2,
"DEU","LIFEEXP","TOT","YR","A","2009",80.3,
"DEU","LIFEEXP","TOT","YR","A","2010",80.5,
"DEU","LIFEEXP","TOT","YR","A","2011",80.5,
"DEU","LIFEEXP","TOT","YR","A","2012",80.6,
"DEU","LIFEEXP","TOT","YR","A","2013",80.6,
"DEU","LIFEEXP","TOT","YR","A","2014",81.2,
"DEU","LIFEEXP","TOT","YR","A","2015",80.7,
"DEU","LIFEEXP","TOT","YR","A","2016",81.1,
"DEU","LIFEEXP","TOT","YR","A","2017",81.1,
"DEU","LIFEEXP","TOT","YR","A","2018",81,
"GRC","LIFEEXP","TOT","YR","A","2000",78.6,
"GRC","LIFEEXP","TOT","YR","A","2001",79.1,
"GRC","LIFEEXP","TOT","YR","A","2002",79.2,
"GRC","LIFEEXP","TOT","YR","A","2003",79.3,
"GRC","LIFEEXP","TOT","YR","A","2004",79.4,
"GRC","LIFEEXP","TOT","YR","A","2005",79.7,
"GRC","LIFEEXP","TOT","YR","A","2006",79.9,
"GRC","LIFEEXP","TOT","YR","A","2007",79.7,
"GRC","LIFEEXP","TOT","YR","A","2008",80.3,
"GRC","LIFEEXP","TOT","YR","A","2009",80.4,
"GRC","LIFEEXP","TOT","YR","A","2010",80.7,
"GRC","LIFEEXP","TOT","YR","A","2011",80.8,
"GRC","LIFEEXP","TOT","YR","A","2012",80.7,
"GRC","LIFEEXP","TOT","YR","A","2013",81.4,
"GRC","LIFEEXP","TOT","YR","A","2014",81.5,
"GRC","LIFEEXP","TOT","YR","A","2015",81.1,
"GRC","LIFEEXP","TOT","YR","A","2016",81.5,
"GRC","LIFEEXP","TOT","YR","A","2017",81.4,
"GRC","LIFEEXP","TOT","YR","A","2018",81.9,
"HUN","LIFEEXP","TOT","YR","A","2000",71.9,
"HUN","LIFEEXP","TOT","YR","A","2001",72.5,
